,가장 많이 참여한 여가활동 (1순위),가장 만족스런 여가활동 (1순위),응답자 성별,연령,가구 소득,여가활동을 위한 월 평균 지출액,가장 많이 참여한 1순위 여가활동 동반자1,일주일 여가시간
1755,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",7,1,3,5,200000,2,27.0
1756,TV시청(IPTV포함),31,1,4,4,250000,1,19.0
1757,TV시청(IPTV포함),22,1,4,5,300000,1,41.0
1758,게임(온라인/모바일/콘솔게임등),38,1,2,7,300000,3,32.0
1759,TV시청(IPTV포함),64,1,5,6,800000,1,25.0
1760,게임(온라인/모바일/콘솔게임등),29,1,2,5,100000,1,27.0
1761,헬스(보디빌딩)/에어로빅,29,1,3,2,25000,1,27.0
1762,TV시청(IPTV포함),86,1,5,7,250000,2,23.0
1763,TV시청(IPTV포함),48,1,5,7,200000,2,20.0
1764,TV시청(IPTV포함),29,1,2,1,100000,1,32.0
1765,게임(온라인/모바일/콘솔게임등),59,1,3,4,1000000,1,45.0
1766,게임(온라인/모바일/콘솔게임등),22,1,3,2,50000,1,38.5
1767,헬스(보디빌딩)/에어로빅,42,1,2,1,100000,1,16.0
1768,TV시청(IPTV포함),75,1,3,4,100000,1,30.0
1769,"모바일컨텐츠,동영상,VOD시청",63,1,3,4,150000,1,13.0
1770,TV시청(IPTV포함),75,1,2,4,100000,1,21.0
1771,TV시청(IPTV포함),74,1,3,3,200000,1,27.0
1772,영화관람,7,1,4,6,300000,2,32.0
1773,게임(온라인/모바일/콘솔게임등),23,1,3,3,5100000,1,27.0
1774,"모바일컨텐츠,동영상,VOD시청",56,1,3,4,300000,1,15.0
1775,쇼핑/외식,64,1,4,5,300000,2,30.0
1776,골프,38,1,4,4,200000,1,30.0
1777,자연명승및풍경관람,79,1,6,7,150000,1,27.0
1778,게임(온라인/모바일/콘솔게임등),59,1,2,1,200000,1,41.0
1779,인터넷검색/1인미디어제작/SNS,58,1,3,5,100000,1,16.0
1780,TV시청(IPTV포함),74,1,5,6,300000,1,32.0
1781,TV시청(IPTV포함),24,1,4,5,350000,2,18.0
1782,TV시청(IPTV포함),21,1,4,6,400000,2,42.0
1783,게임(온라인/모바일/콘솔게임등),59,1,3,6,200000,1,16.0
1784,TV시청(IPTV포함),23,1,5,5,200000,1,40.0
1785,낚시,26,1,3,7,500000,3,13.0
1786,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,3,3,30000,2,16.0
1787,인터넷검색/1인미디어제작/SNS,55,1,3,4,100000,1,29.0
1788,인터넷검색/1인미디어제작/SNS,55,1,4,7,80000,1,29.0
1789,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),63,1,5,7,250000,1,16.0
1790,인터넷검색/1인미디어제작/SNS,84,1,3,3,400000,1,41.0
1791,"모바일컨텐츠,동영상,VOD시청",20,1,2,6,400000,1,41.0
1792,"모바일컨텐츠,동영상,VOD시청",20,1,2,5,400000,1,41.0
1793,게임(온라인/모바일/콘솔게임등),87,1,2,4,500000,1,24.0
1794,인터넷검색/1인미디어제작/SNS,64,1,2,7,150000,1,16.0
1795,"모바일컨텐츠,동영상,VOD시청",63,1,2,5,30000,1,14.0
1796,"모바일컨텐츠,동영상,VOD시청",75,1,1,5,50000,1,7.0
1797,TV시청(IPTV포함),63,1,5,6,200000,1,14.0
1798,"모바일컨텐츠,동영상,VOD시청",20,1,2,5,50000,1,31.0
1799,음악감상,20,1,2,3,30000,1,33.0
1800,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),59,1,1,5,30000,1,9.0
1801,인터넷검색/1인미디어제작/SNS,63,1,3,6,150000,1,16.0
1802,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),59,1,2,5,30000,1,14.0
1803,인터넷검색/1인미디어제작/SNS,58,1,1,7,20000,1,18.0
1804,TV시청(IPTV포함),20,1,5,3,100000,2,36.0
1805,TV시청(IPTV포함),56,1,4,3,100000,1,40.0
1806,"농구,배구,야구,축구,족구",20,1,6,2,300000,3,21.0
1807,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",20,1,2,5,400000,1,15.0
1808,TV시청(IPTV포함),61,1,5,4,300000,2,36.0
1809,음악감상,81,1,4,6,100000,1,21.0
1810,게임(온라인/모바일/콘솔게임등),20,1,3,4,50000,1,36.0
1811,"모바일컨텐츠,동영상,VOD시청",75,1,4,5,30000,1,19.5
1812,"농구,배구,야구,축구,족구",20,1,4,5,200000,5,40.0
1813,인터넷검색/1인미디어제작/SNS,74,1,5,6,150000,1,23.0
1814,산책및걷기,20,1,3,5,200000,2,11.0
1815,TV시청(IPTV포함),20,1,3,6,100000,1,28.0
1816,TV시청(IPTV포함),55,1,5,6,250000,2,27.0
1817,TV시청(IPTV포함),55,1,5,7,300000,2,28.0
1818,TV시청(IPTV포함),55,1,5,5,300000,2,32.0
1819,TV시청(IPTV포함),55,1,5,7,350000,2,32.0
1820,TV시청(IPTV포함),55,1,5,4,300000,2,32.0
1821,게임(온라인/모바일/콘솔게임등),53,1,1,5,300000,1,65.0
1822,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,4,5,100000,2,14.0
1823,게임(온라인/모바일/콘솔게임등),59,1,1,3,20000,3,41.0
1824,TV시청(IPTV포함),74,1,5,6,30000,1,40.0
1825,TV시청(IPTV포함),74,1,4,7,50000,2,45.0
1826,인터넷검색/1인미디어제작/SNS,58,1,1,7,50000,1,15.0
1827,게임(온라인/모바일/콘솔게임등),41,1,2,5,50000,1,34.0
1828,반려동물돌보기,52,1,5,4,100000,1,28.0
1829,TV시청(IPTV포함),59,1,1,5,40000,1,37.0
1830,인터넷검색/1인미디어제작/SNS,86,1,1,6,50000,1,32.0
1831,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,2,7,400000,1,45.0
1832,게임(온라인/모바일/콘솔게임등),59,1,1,6,30000,1,23.0
1833,"모바일컨텐츠,동영상,VOD시청",75,1,1,6,20000,1,21.0
1834,TV시청(IPTV포함),7,1,6,3,30000,1,56.0
1835,TV시청(IPTV포함),48,1,4,3,50000,1,28.0
1836,낮잠,73,1,1,3,100000,1,18.0
1837,사이클링/산악자전거,35,1,5,5,300000,3,21.0
1838,사이클링/산악자전거,35,1,4,7,50000,1,20.0
1839,게임(온라인/모바일/콘솔게임등),20,1,2,7,200000,1,32.0
1840,TV시청(IPTV포함),74,1,3,5,300000,2,27.0
1841,인터넷검색/1인미디어제작/SNS,58,1,1,5,3000,3,7.0
1842,"모바일컨텐츠,동영상,VOD시청",59,1,2,3,50000,1,25.0
1843,육상/조깅/속보,32,1,1,4,70000,1,28.0
1844,게임(온라인/모바일/콘솔게임등),59,1,2,3,400000,1,50.0
1845,TV시청(IPTV포함),74,1,3,4,30000,2,16.0
1846,게임(온라인/모바일/콘솔게임등),59,2,1,5,30000,1,17.0
1847,"모바일컨텐츠,동영상,VOD시청",20,1,2,5,300000,1,32.0
1848,인터넷검색/1인미디어제작/SNS,59,1,2,5,50000,1,16.0
1849,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,2,7,100000,2,9.0
1850,인터넷검색/1인미디어제작/SNS,20,1,5,7,100000,1,30.0
1851,게임(온라인/모바일/콘솔게임등),41,1,2,3,150000,1,36.0
1852,"모바일컨텐츠,동영상,VOD시청",48,1,3,4,500000,1,41.0
1853,TV시청(IPTV포함),63,1,6,4,80000,2,18.0
1854,게임(온라인/모바일/콘솔게임등),59,1,2,5,200000,3,32.0
1855,"모바일컨텐츠,동영상,VOD시청",39,1,4,4,100000,1,40.0
1856,인터넷검색/1인미디어제작/SNS,59,1,2,4,30000,1,36.0
1857,게임(온라인/모바일/콘솔게임등),59,1,1,7,10000,3,27.0
1858,"농구,배구,야구,축구,족구",20,1,5,3,100000,5,32.0
1859,인터넷검색/1인미디어제작/SNS,53,1,2,5,30000,1,32.0
1860,"모바일컨텐츠,동영상,VOD시청",75,1,3,3,150000,1,36.0
1861,게임(온라인/모바일/콘솔게임등),20,1,2,5,250000,1,70.0
1862,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,3,2,200000,3,20.0
1863,독서(웹소설포함),65,1,2,5,100000,1,25.0
1864,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),20,1,3,3,100000,1,22.0
1865,인터넷검색/1인미디어제작/SNS,86,1,3,5,500000,1,60.0
1866,TV시청(IPTV포함),20,1,3,4,200000,2,60.0
1867,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),20,1,2,5,50000,3,29.0
1868,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,5,5,300000,1,21.0
1869,인터넷검색/1인미디어제작/SNS,20,1,3,4,50000,1,7.0
1870,인터넷검색/1인미디어제작/SNS,20,1,2,4,200000,1,55.0
1871,"모바일컨텐츠,동영상,VOD시청",29,1,3,6,500000,1,49.0
1872,영화관람,43,2,5,5,100000,2,23.0
1873,인터넷검색/1인미디어제작/SNS,20,1,4,6,500000,1,20.0
1874,인터넷검색/1인미디어제작/SNS,41,1,4,6,200000,1,29.0
1875,자동차드라이브,48,1,2,6,200000,2,25.0
1876,인터넷검색/1인미디어제작/SNS,86,1,3,3,200000,1,14.0
1877,"모바일컨텐츠,동영상,VOD시청",29,1,2,6,300000,1,46.0
1878,헬스(보디빌딩)/에어로빅,29,1,1,7,70000,1,18.0
1879,"모바일컨텐츠,동영상,VOD시청",39,1,3,5,200000,1,32.0
1880,게임(온라인/모바일/콘솔게임등),29,1,2,4,200000,3,36.0
1881,"농구,배구,야구,축구,족구",20,1,1,6,200000,3,21.0
1882,만화보기(웹툰포함),66,2,1,7,20000,1,16.0
1883,"모바일컨텐츠,동영상,VOD시청",75,1,2,7,300000,1,50.0
1884,게임(온라인/모바일/콘솔게임등),20,1,1,6,10000,1,15.0
1885,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",20,1,2,7,200000,2,27.0
1886,"모바일컨텐츠,동영상,VOD시청",20,1,4,5,500000,1,31.0
1887,게임(온라인/모바일/콘솔게임등),29,1,4,5,250000,1,17.0
1888,TV시청(IPTV포함),24,1,4,6,300000,1,35.0
1889,TV시청(IPTV포함),20,1,5,5,300000,2,21.0
1890,종교활동,81,1,4,2,300000,1,28.0
1891,게임(온라인/모바일/콘솔게임등),59,1,4,5,500000,1,20.0
1892,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),29,1,2,4,400000,1,21.0
1893,신문/잡지보기,20,1,4,7,180000,1,18.0
1894,게임(온라인/모바일/콘솔게임등),86,1,2,3,300000,1,18.0
1895,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),64,1,5,3,100000,1,50.0
1896,게임(온라인/모바일/콘솔게임등),59,1,2,2,50000,1,56.0
1897,음악감상,86,1,2,6,50000,1,31.0
1898,"모바일컨텐츠,동영상,VOD시청",20,1,2,3,150000,1,65.0
1899,반려동물돌보기,56,1,4,5,50000,2,31.5
1900,게임(온라인/모바일/콘솔게임등),33,1,1,7,300000,1,31.0
1901,게임(온라인/모바일/콘솔게임등),48,1,1,4,150000,3,45.0
1902,영화관람,23,1,4,4,100000,2,22.0
1903,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),20,1,3,7,100000,3,27.0
1904,TV시청(IPTV포함),20,1,3,6,200000,1,30.0
1905,영화관람,29,1,2,6,300000,4,42.0
1906,헬스(보디빌딩)/에어로빅,29,1,2,6,200000,1,18.0
1907,헬스(보디빌딩)/에어로빅,29,1,2,5,100000,1,32.0
1908,산책및걷기,71,1,5,7,280000,2,32.0
1909,게임(온라인/모바일/콘솔게임등),59,1,1,6,50000,1,16.0
1910,"모바일컨텐츠,동영상,VOD시청",75,1,2,4,150000,1,36.0
1911,당구/포켓볼,48,1,4,6,300000,1,27.0
1912,게임(온라인/모바일/콘솔게임등),59,1,2,1,30000,3,60.0
1913,게임(온라인/모바일/콘솔게임등),59,1,2,1,30000,3,40.0
1914,TV시청(IPTV포함),73,1,5,4,300000,2,35.0
1915,게임(온라인/모바일/콘솔게임등),86,1,2,7,300000,1,27.0
1916,인터넷검색/1인미디어제작/SNS,20,1,1,4,20000,1,36.0
1917,"모바일컨텐츠,동영상,VOD시청",20,1,4,4,50000,1,31.5
1918,"농구,배구,야구,축구,족구",20,1,1,4,50000,3,45.0
1919,종교활동,81,1,2,6,100000,1,36.0
1920,헬스(보디빌딩)/에어로빅,59,1,2,4,50000,1,14.0
1921,"모바일컨텐츠,동영상,VOD시청",75,1,4,5,500000,3,16.0
1922,게임(온라인/모바일/콘솔게임등),27,1,2,1,200000,1,31.0
1923,쇼핑/외식,22,1,2,5,200000,3,32.0
1924,게임(온라인/모바일/콘솔게임등),22,1,3,3,30000,1,27.0
1925,게임(온라인/모바일/콘솔게임등),59,1,1,3,100000,1,70.0
1926,게임(온라인/모바일/콘솔게임등),59,1,2,6,50000,3,42.0
1927,TV시청(IPTV포함),35,1,4,5,400000,1,36.0
1928,헬스(보디빌딩)/에어로빅,29,1,2,6,400000,1,23.0
1929,게임(온라인/모바일/콘솔게임등),29,1,2,7,800000,1,54.0
1930,TV시청(IPTV포함),86,1,5,6,500000,2,36.0
1931,친구만남/이성교제/미팅/소개팅,86,1,2,1,200000,3,45.0
1932,TV시청(IPTV포함),41,1,2,4,400000,1,40.0
1933,"모바일컨텐츠,동영상,VOD시청",59,2,1,6,200000,1,64.0
1934,"모바일컨텐츠,동영상,VOD시청",75,2,3,4,50000,1,19.0
1935,TV시청(IPTV포함),86,1,7,1,200000,1,70.0
1936,영화관람,86,1,6,7,100000,2,19.0
1937,게임(온라인/모바일/콘솔게임등),59,1,2,7,100000,1,18.0
1938,인터넷검색/1인미디어제작/SNS,59,1,2,7,0,1,35.0
1939,"모바일컨텐츠,동영상,VOD시청",7,1,2,7,300000,1,7.0
1940,TV시청(IPTV포함),59,1,4,3,100000,2,30.0
1941,낚시,55,1,5,3,300000,1,39.0
1942,인터넷검색/1인미디어제작/SNS,58,1,2,6,20000,1,28.0
1943,종교활동,81,2,4,3,200000,1,21.0
1944,TV시청(IPTV포함),63,1,5,4,150000,1,14.0
1945,TV시청(IPTV포함),71,2,4,4,50000,1,16.0
1946,음주,64,2,3,5,200000,2,20.0
1947,산책및걷기,71,2,5,7,50000,2,25.0
1948,"생활공예(십자수,비즈공예)",83,2,4,5,50000,1,9.0
1949,TV시청(IPTV포함),71,1,7,1,200000,2,36.0
1950,TV시청(IPTV포함),74,1,6,1,50000,1,70.0
1951,"모바일컨텐츠,동영상,VOD시청",47,1,3,3,400000,1,37.0
1952,TV시청(IPTV포함),81,1,4,4,25000,1,14.0
1953,TV시청(IPTV포함),74,1,5,1,100000,1,70.0
1954,인터넷검색/1인미디어제작/SNS,58,2,2,1,30000,1,32.0
1955,게임(온라인/모바일/콘솔게임등),59,1,3,3,20000,3,41.0
1956,TV시청(IPTV포함),63,2,4,3,50000,1,42.0
1957,산책및걷기,7,2,4,2,30000,1,16.0
1958,TV시청(IPTV포함),86,2,5,4,100000,1,9.0
1959,라디오/팟캐스트청취,81,2,4,6,100000,1,14.0
1960,라디오/팟캐스트청취,86,2,5,4,150000,1,14.0
1961,음악감상,63,1,3,4,300000,1,25.0
1962,TV시청(IPTV포함),74,1,3,3,50000,2,25.0
1963,TV시청(IPTV포함),73,1,4,6,200000,2,65.0
1964,TV시청(IPTV포함),55,1,5,4,50000,2,28.0
1965,종교활동,81,2,5,6,150000,1,25.0
1966,라디오/팟캐스트청취,86,1,5,4,150000,1,14.0
1967,TV시청(IPTV포함),56,1,4,4,100000,1,35.0
1968,인터넷검색/1인미디어제작/SNS,77,2,2,3,100000,1,16.0
1969,독서(웹소설포함),65,2,3,5,100000,1,25.0
1970,"모바일컨텐츠,동영상,VOD시청",66,2,1,7,20000,1,32.0
1971,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,3,6,100000,3,21.0
1972,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,3,4,50000,3,25.0
1973,게임(온라인/모바일/콘솔게임등),59,1,1,7,30000,1,13.0
1974,TV시청(IPTV포함),75,1,3,5,100000,2,23.0
1975,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,3,5,100000,1,26.0
1976,인터넷검색/1인미디어제작/SNS,58,1,4,5,300000,1,50.0
1977,TV시청(IPTV포함),63,2,5,7,300000,1,23.0
1978,산책및걷기,71,2,7,2,50000,3,35.0
1979,TV시청(IPTV포함),71,2,5,4,150000,1,28.0
1980,TV시청(IPTV포함),43,1,5,3,100000,1,21.0
1981,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),86,2,2,7,100000,1,16.0
1982,음악감상,86,1,3,5,150000,1,21.0
1983,TV시청(IPTV포함),86,2,2,6,50000,1,14.0
1984,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),86,2,1,5,30000,1,9.0
1985,산책및걷기,71,2,3,6,10000,2,20.0
1986,라디오/팟캐스트청취,71,1,4,4,150000,1,18.0
1987,TV시청(IPTV포함),55,1,4,7,70000,1,28.0
1988,"모바일컨텐츠,동영상,VOD시청",59,1,3,3,200000,1,14.0
1989,TV시청(IPTV포함),52,2,5,6,300000,2,32.0
1990,산책및걷기,71,2,5,7,50000,1,14.0
1991,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,4,5,200000,6,35.0
1992,인터넷검색/1인미디어제작/SNS,55,1,3,1,100000,1,25.0
1993,"모바일컨텐츠,동영상,VOD시청",75,2,3,7,100000,1,20.0
1994,TV시청(IPTV포함),75,1,4,5,100000,2,21.0
1995,음악감상,77,2,1,4,200000,1,18.0
1996,산책및걷기,71,2,4,5,50000,3,42.0
1997,TV시청(IPTV포함),63,1,4,6,300000,2,23.0
1998,음악감상,77,1,3,7,100000,1,7.0
1999,등산,55,2,5,5,200000,3,25.0
2000,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,3,6,80000,1,9.0
2001,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",42,1,4,5,5800,2,23.0
2002,인터넷검색/1인미디어제작/SNS,58,1,3,3,50000,1,41.0
2003,게임(온라인/모바일/콘솔게임등),84,2,2,4,50000,1,9.0
2004,인터넷검색/1인미디어제작/SNS,63,2,3,7,150000,1,18.0
2005,인터넷검색/1인미디어제작/SNS,58,1,3,6,50000,1,18.0
2006,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),7,1,4,5,100000,3,35.0
2007,쇼핑/외식,48,2,5,3,300000,2,41.0
2008,TV시청(IPTV포함),74,1,3,5,200000,2,16.0
2009,산책및걷기,71,2,5,2,100000,2,20.0
2010,국내캠핑,41,1,3,3,80000,3,23.0
2011,쇼핑/외식,63,1,2,7,50000,1,29.0
2012,TV시청(IPTV포함),41,1,2,2,150000,1,31.0
2013,TV시청(IPTV포함),7,2,4,6,50000,1,31.0
2014,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),7,2,2,5,50000,1,9.0
2015,TV시청(IPTV포함),7,1,3,5,30000,2,16.0
2016,TV시청(IPTV포함),41,2,3,6,100000,2,9.0
2017,인터넷검색/1인미디어제작/SNS,84,2,2,7,30000,1,22.5
2018,인터넷검색/1인미디어제작/SNS,58,2,2,1,200000,1,41.0
2019,TV시청(IPTV포함),84,1,5,5,300000,2,18.0
2020,TV시청(IPTV포함),80,2,6,1,30000,1,42.0
2021,산책및걷기,86,1,2,6,500000,1,36.0
2022,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),86,2,5,7,100000,1,14.0
2023,TV시청(IPTV포함),64,1,3,5,150000,1,14.0
2024,독서(웹소설포함),59,1,2,4,100000,1,31.0
2025,산책및걷기,71,2,3,3,40000,1,19.0
2026,TV시청(IPTV포함),41,2,6,5,50000,2,21.0
2027,TV시청(IPTV포함),41,2,5,5,300000,1,35.0
2028,음주,41,1,4,4,200000,3,25.0
2029,TV시청(IPTV포함),41,2,5,6,300000,2,32.0
2030,TV시청(IPTV포함),63,2,6,3,150000,1,14.0
2031,게임(온라인/모바일/콘솔게임등),84,1,2,1,50000,1,11.0
2032,TV시청(IPTV포함),63,2,4,5,150000,1,16.0
2033,게임(온라인/모바일/콘솔게임등),59,1,2,7,300000,1,18.0
2034,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",86,1,3,5,150000,2,21.0
2035,TV시청(IPTV포함),64,1,5,4,25000,1,9.0
2036,TV시청(IPTV포함),71,1,5,6,35000,1,9.0
2037,TV시청(IPTV포함),44,2,6,1,100000,1,70.0
2038,산책및걷기,55,2,4,7,40000,1,9.0
2039,산책및걷기,71,2,5,6,40000,1,9.0
2040,"원예(화분,화단가꾸기등)",81,2,5,2,30000,1,14.0
2041,게임(온라인/모바일/콘솔게임등),75,1,4,4,150000,1,28.0
2042,등산,55,1,4,4,30000,1,14.0
2043,쇼핑/외식,39,2,6,4,200000,2,16.0
2044,산책및걷기,63,1,2,7,100000,2,25.0
2045,TV시청(IPTV포함),39,2,3,5,30000,2,27.0
2046,TV시청(IPTV포함),81,2,7,2,150000,2,49.0
2047,TV시청(IPTV포함),39,1,5,5,200000,2,25.0
2048,"모바일컨텐츠,동영상,VOD시청",63,2,4,6,300000,1,25.0
2049,게임(온라인/모바일/콘솔게임등),63,1,3,6,100000,1,32.0
2050,인터넷검색/1인미디어제작/SNS,7,2,2,7,30000,1,21.0
2051,게임(온라인/모바일/콘솔게임등),63,1,3,4,100000,1,25.0
2052,게임(온라인/모바일/콘솔게임등),63,1,3,6,50000,1,25.0
2053,TV시청(IPTV포함),55,1,4,6,50000,2,18.0
2054,산책및걷기,56,1,4,3,200000,1,20.0
2055,TV시청(IPTV포함),55,1,4,5,300000,2,32.0
2056,산책및걷기,71,2,3,5,100000,1,16.0
2057,TV시청(IPTV포함),55,1,4,5,50000,2,40.0
2058,TV시청(IPTV포함),81,2,5,4,100000,1,25.0
2059,TV시청(IPTV포함),63,2,4,6,300000,2,27.0
2060,쇼핑/외식,63,2,5,5,500000,2,18.0
2061,인터넷검색/1인미디어제작/SNS,39,1,4,4,300000,1,7.0
2062,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",64,1,5,6,150000,1,26.0
2063,TV시청(IPTV포함),75,1,4,5,300000,2,18.0
2064,TV시청(IPTV포함),86,1,6,3,300000,2,40.0
2065,음주,64,2,4,6,200000,2,18.0
2066,TV시청(IPTV포함),71,2,4,4,50000,2,14.0
2067,인터넷검색/1인미디어제작/SNS,39,1,3,5,100000,1,9.0
2068,인터넷검색/1인미디어제작/SNS,71,1,5,4,1000000,1,65.0
2069,영화관람,7,1,4,7,250000,2,36.0
2070,산책및걷기,71,1,6,7,100000,2,13.0
2071,음악감상,86,1,4,3,200000,1,32.0
2072,영화관람,48,1,3,4,300000,3,15.0
2073,TV시청(IPTV포함),55,2,4,7,300000,2,13.0
2074,인터넷검색/1인미디어제작/SNS,59,1,2,7,30000,1,37.0
2075,TV시청(IPTV포함),63,1,5,5,200000,2,37.0
2076,TV시청(IPTV포함),63,1,5,3,230000,2,32.5
2077,TV시청(IPTV포함),63,1,5,5,200000,2,35.0
2078,TV시청(IPTV포함),71,1,4,4,50000,1,21.0
2079,독서(웹소설포함),65,2,4,7,200000,1,27.0
2080,TV시청(IPTV포함),74,2,6,2,10000,1,17.0
2081,TV시청(IPTV포함),84,2,5,5,25000,2,16.0
2082,TV시청(IPTV포함),86,1,5,5,200000,1,23.0
2083,TV시청(IPTV포함),74,1,4,5,10000,2,9.0
2084,TV시청(IPTV포함),83,2,5,3,100000,1,16.0
2085,TV시청(IPTV포함),39,2,5,5,200000,2,25.0
2086,TV시청(IPTV포함),48,2,4,4,30000,2,32.0
2087,TV시청(IPTV포함),7,1,4,5,200000,2,18.0
2088,TV시청(IPTV포함),74,2,4,5,50000,1,18.0
2089,TV시청(IPTV포함),55,1,7,7,10000,2,16.0
2090,TV시청(IPTV포함),39,2,4,7,100000,2,18.0
2091,인터넷검색/1인미디어제작/SNS,43,2,3,7,50000,1,35.0
2092,게임(온라인/모바일/콘솔게임등),59,1,2,7,70000,1,27.0
2093,TV시청(IPTV포함),86,1,6,2,70000,1,50.0
2094,TV시청(IPTV포함),74,1,6,2,150000,1,41.0
2095,게임(온라인/모바일/콘솔게임등),58,2,2,7,70000,1,16.0
2096,음악감상,59,1,1,4,150000,1,25.0
2097,TV시청(IPTV포함),74,1,3,5,300000,2,32.0
2098,음악감상,77,2,2,3,100000,1,27.0
2099,인터넷검색/1인미디어제작/SNS,75,2,1,5,10000,1,60.0
2100,TV시청(IPTV포함),43,2,5,1,50000,1,70.0
2101,TV시청(IPTV포함),39,2,3,5,100000,2,18.0
2102,인터넷검색/1인미디어제작/SNS,63,2,3,6,100000,1,25.0
2103,TV시청(IPTV포함),39,1,4,5,400000,2,32.0
2104,TV시청(IPTV포함),39,1,4,7,400000,2,32.0
2105,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",58,1,5,6,100000,1,18.0
2106,낚시,56,1,6,6,230000,3,31.0
2107,TV시청(IPTV포함),74,2,6,1,50000,1,31.0
2108,산책및걷기,83,1,3,6,130000,2,32.0
2109,"모바일컨텐츠,동영상,VOD시청",41,1,3,6,70000,1,13.0
2110,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",39,1,4,5,60000,2,16.0
2111,산책및걷기,77,2,2,7,10000,2,9.0
2112,인터넷검색/1인미디어제작/SNS,41,1,2,7,50000,1,9.0
2113,영화관람,7,1,2,5,150000,2,14.0
2114,국내캠핑,48,1,3,4,100000,2,18.0
2115,쇼핑/외식,63,2,4,6,1000000,1,25.0
2116,TV시청(IPTV포함),39,1,4,6,300000,1,18.0
2117,TV시청(IPTV포함),39,1,4,5,100000,1,9.0
2118,인터넷검색/1인미디어제작/SNS,41,1,3,6,50000,1,16.0
2119,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),7,2,5,6,50000,3,30.0
2120,TV시청(IPTV포함),72,2,3,3,150000,1,9.0
2121,산책및걷기,7,1,3,6,100000,1,23.0
2122,인터넷검색/1인미디어제작/SNS,64,1,3,7,1000000,1,20.0
2123,게임(온라인/모바일/콘솔게임등),39,1,4,5,300000,1,20.0
2124,쇼핑/외식,63,1,5,5,200000,3,21.0
2125,TV시청(IPTV포함),58,1,5,6,50000,2,29.0
2126,인터넷검색/1인미디어제작/SNS,58,1,2,1,150000,1,45.0
2127,인터넷검색/1인미디어제작/SNS,7,1,3,6,200000,1,27.0
2128,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,5,6,40000,3,18.0
2129,TV시청(IPTV포함),17,2,4,7,40000,2,37.0
2130,자동차드라이브,80,2,5,4,300000,2,26.0
2131,TV시청(IPTV포함),7,1,2,7,50000,2,16.0
2132,음악감상,7,2,2,5,80000,1,36.0
2133,게임(온라인/모바일/콘솔게임등),52,1,3,6,20000,1,22.0
2134,TV시청(IPTV포함),55,1,5,4,100000,2,65.0
2135,TV시청(IPTV포함),86,1,6,3,500000,2,37.0
2136,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",64,1,4,6,300000,1,25.0
2137,인터넷검색/1인미디어제작/SNS,58,1,3,4,300000,1,32.0
2138,인터넷검색/1인미디어제작/SNS,58,1,3,3,400000,1,24.0
2139,TV시청(IPTV포함),74,1,4,3,20000,1,31.0
2140,TV시청(IPTV포함),71,2,6,3,100000,1,44.0
2141,산책및걷기,55,1,7,5,300000,1,25.0
2142,TV시청(IPTV포함),81,2,6,1,4000,1,32.0
2143,TV시청(IPTV포함),74,1,5,6,200000,2,25.0
2144,TV시청(IPTV포함),55,1,6,7,50000,1,31.0
2145,TV시청(IPTV포함),86,1,5,3,100000,2,23.0
